mae,rmse,mape,model,origin,destination,route
200.44044431324878,464.06726783989967,29.303381942050997,random_forest,ZRH,Cartagena,ZRH-Cartagena
261.8346862792969,476.9621689636012,124.67130865487361,xgboost,ZRH,Cartagena,ZRH-Cartagena
302.8973398793993,482.59616360423246,177.78559596971786,mlp,ZRH,Cartagena,ZRH-Cartagena
40.82835464526903,47.849642869252214,25.04184537576915,random_forest,GVA,Cuba,GVA-Cuba
65.2340799967448,82.80571825668171,47.697897158852,xgboost,GVA,Cuba,GVA-Cuba
97.52079932351866,106.4294332439963,58.79557318261791,mlp,GVA,Cuba,GVA-Cuba
506.675636336169,719.9939089776848,16.38690976996572,random_forest,ZRH,Birmingham International,ZRH-Birmingham International
460.2887776692708,722.4909009766335,14.228861895060046,xgboost,ZRH,Birmingham International,ZRH-Birmingham International
562.2118591045838,798.563469048129,18.057017472295737,mlp,ZRH,Birmingham International,ZRH-Birmingham International
55.788688775964204,84.39589622208482,22.612889850406255,random_forest,GVA,Skopje Alexander The Great,GVA-Skopje Alexander The Great
51.07947031656901,75.94353278573183,21.87892118745118,xgboost,GVA,Skopje Alexander The Great,GVA-Skopje Alexander The Great
111.61017949651807,124.59235793886458,63.334912964854574,mlp,GVA,Skopje Alexander The Great,GVA-Skopje Alexander The Great
280.81777924911495,371.2848699981905,30.2545799343395,random_forest,GVA,Montenegro,GVA-Montenegro
459.0875651041667,495.9148997180972,40.79945103209866,xgboost,GVA,Montenegro,GVA-Montenegro
729.36065224177,791.783012394292,53.01458869177168,mlp,GVA,Montenegro,GVA-Montenegro
283.3767086511969,397.91173337799995,35.42876009966072,random_forest,GVA,Tivat,GVA-Tivat
434.8584289550781,472.9860384636385,43.75446264957976,xgboost,GVA,Tivat,GVA-Tivat
814.1310455701996,896.7597447979198,61.16736295987776,mlp,GVA,Tivat,GVA-Tivat
233.74513516742752,291.3953260175154,16.699710196030914,random_forest,GVA,Izmir Adnan Menderes,GVA-Izmir Adnan Menderes
307.92755126953125,383.15743399039906,21.42841988710551,xgboost,GVA,Izmir Adnan Menderes,GVA-Izmir Adnan Menderes
475.9746918709629,536.3889383499873,31.671679904999355,mlp,GVA,Izmir Adnan Menderes,GVA-Izmir Adnan Menderes
261.91360726893265,324.3906307686471,18.57208391245978,random_forest,ZRH,Beijing Capital,ZRH-Beijing Capital
252.92244466145834,333.79865814038294,16.665040401385635,xgboost,ZRH,Beijing Capital,ZRH-Beijing Capital
324.24982228479763,405.08095853797073,21.51349806998971,mlp,ZRH,Beijing Capital,ZRH-Beijing Capital
494.95452310751125,1172.687162792316,43.116002373834576,random_forest,GVA,Leeds Bradford,GVA-Leeds Bradford
586.9919503529867,1196.494035673867,173.7258871316075,xgboost,GVA,Leeds Bradford,GVA-Leeds Bradford
613.5506299179835,1214.8820524082926,228.7907234151191,mlp,GVA,Leeds Bradford,GVA-Leeds Bradford
200.71690545897414,284.8506103216737,171.98109133023277,random_forest,ZRH,Pula,ZRH-Pula
292.85175069173175,308.3379584012109,162.1380071326298,xgboost,ZRH,Pula,ZRH-Pula
358.05244115560663,373.7244775915586,134.83446716616646,mlp,ZRH,Pula,ZRH-Pula
253.35905742721275,512.5081133277577,51.286461268727535,random_forest,GVA,London City,GVA-London City
262.44988505045575,527.3350977427505,54.904157182032534,xgboost,GVA,London City,GVA-London City
516.7827924282678,602.6563928854748,248.48415433972582,mlp,GVA,London City,GVA-London City
1052.101493786661,1195.0582688618297,17.387963449493594,random_forest,GVA,Montreal Dorval International,GVA-Montreal Dorval International
1013.4681803385416,1085.8204658470042,17.291023340672343,xgboost,GVA,Montreal Dorval International,GVA-Montreal Dorval International
680.0362846791378,799.8307917377847,10.731098059379935,mlp,GVA,Montreal Dorval International,GVA-Montreal Dorval International
25.77528984731727,30.28620920752521,38.644627033049986,random_forest,ZRH,Leeds Bradford,ZRH-Leeds Bradford
27.93310610453288,33.302024749189535,36.82207123044441,xgboost,ZRH,Leeds Bradford,ZRH-Leeds Bradford
20.78722261995941,24.257023229793358,30.50115481240507,mlp,ZRH,Leeds Bradford,ZRH-Leeds Bradford
1732.8190493717386,2299.722561849744,76.36102897706427,random_forest,ZRH,Zanzibar,ZRH-Zanzibar
1663.8578033447266,2197.9481399211377,79.88974788170657,xgboost,ZRH,Zanzibar,ZRH-Zanzibar
1504.6406873044086,2060.4213455932963,57.521981667131264,mlp,ZRH,Zanzibar,ZRH-Zanzibar
259.13639071412564,498.0517072780356,78.87779484852874,random_forest,GVA,Chania,GVA-Chania
491.7497965494792,593.7283107157461,92.31702763526177,xgboost,GVA,Chania,GVA-Chania
697.39782769673,727.7242690415516,96.41666420252636,mlp,GVA,Chania,GVA-Chania
61.32524557836799,63.1296627860938,5.8635342376135835,random_forest,ZRH,Bologna,ZRH-Bologna
88.73012288411458,97.74959172537594,8.351980132709311,xgboost,ZRH,Bologna,ZRH-Bologna
159.55925495098214,170.73129462891248,14.984717406778062,mlp,ZRH,Bologna,ZRH-Bologna
112.71205409839456,154.44691665717178,39.73805312402463,random_forest,ZRH,Santa Cruz De La Palma,ZRH-Santa Cruz De La Palma
108.22238413492839,157.07246062949415,33.38508390029,xgboost,ZRH,Santa Cruz De La Palma,ZRH-Santa Cruz De La Palma
103.24947957704582,132.7770620301356,37.21076439692257,mlp,ZRH,Santa Cruz De La Palma,ZRH-Santa Cruz De La Palma
1624.1605007635596,1817.589324957375,77.62233234477443,random_forest,GVA,Birmingham International,GVA-Birmingham International
1693.1545003255208,1893.1271555232552,80.9896527546315,xgboost,GVA,Birmingham International,GVA-Birmingham International
679.5328543457694,1257.478403422347,21.835817575521432,mlp,GVA,Birmingham International,GVA-Birmingham International
80.86387757842418,93.15674188714046,32.25772270208015,random_forest,ZRH,Casablanca Mohamed V,ZRH-Casablanca Mohamed V
69.85582733154297,87.14634526397847,25.600625252498883,xgboost,ZRH,Casablanca Mohamed V,ZRH-Casablanca Mohamed V
74.72505667750018,104.05863085888957,27.237678186405184,mlp,ZRH,Casablanca Mohamed V,ZRH-Casablanca Mohamed V
