route,origin,destination,cluster
ZRH-Zakinthos,ZRH,Zakinthos,2
GVA-Belfast International,GVA,Belfast International,3
GVA-Birmingham International,GVA,Birmingham International,3
GVA-Bournemouth,GVA,Bournemouth,3
GVA-Cork,GVA,Cork,3
GVA-East Midlands,GVA,East Midlands,3
GVA-Fuerteventura,GVA,Fuerteventura,3
GVA-Glasgow International,GVA,Glasgow International,3
GVA-Göteborg Landvetter,GVA,Göteborg Landvetter,3
GVA-Leeds Bradford,GVA,Leeds Bradford,3
GVA-Liverpool,GVA,Liverpool,3
GVA-London Luton,GVA,London Luton,3
GVA-London Stansted,GVA,London Stansted,3
GVA-Newcastle,GVA,Newcastle,3
GVA-Other airports: Jordan,GVA,Other airports: Jordan,3
GVA-Other airports: United Kingdom,GVA,Other airports: United Kingdom,3
GVA-Southampton,GVA,Southampton,3
GVA-Southend,GVA,Southend,3
GVA-Tromsö,GVA,Tromsö,3
ZRH-Cartagena,ZRH,Cartagena,3
ZRH-London Stansted,ZRH,London Stansted,3
ZRH-Phuket.International,ZRH,Phuket.International,3
GVA-Addis Ababa,GVA,Addis Ababa,4
GVA-Al Massira,GVA,Al Massira,4
GVA-Algeria,GVA,Algeria,4
GVA-Algiers,GVA,Algiers,4
GVA-Alicante,GVA,Alicante,4
GVA-America,GVA,America,4
GVA-Amman Queen Alia International,GVA,Amman Queen Alia International,4
GVA-Ankara Esenboga,GVA,Ankara Esenboga,4
GVA-Asia,GVA,Asia,4
GVA-Atlanta Hartsfield Intl,GVA,Atlanta Hartsfield Intl,4
GVA-Bali Intl/Ngurah Rai,GVA,Bali Intl/Ngurah Rai,4
GVA-Bangalore,GVA,Bangalore,4
GVA-Barcelona,GVA,Barcelona,4
GVA-Beijing Capital,GVA,Beijing Capital,4
GVA-Beirut,GVA,Beirut,4
GVA-Belgrade,GVA,Belgrade,4
GVA-Bergen,GVA,Bergen,4
GVA-Bilbao,GVA,Bilbao,4
GVA-Bologna,GVA,Bologna,4
GVA-Bombay,GVA,Bombay,4
GVA-Bordeaux,GVA,Bordeaux,4
GVA-Bosnia and Herzegovina,GVA,Bosnia and Herzegovina,4
GVA-Boston Logan International,GVA,Boston Logan International,4
GVA-Brindisi,GVA,Brindisi,4
GVA-Bucuresti Otopeni,GVA,Bucuresti Otopeni,4
GVA-Bulgaria,GVA,Bulgaria,4
GVA-Calgary,GVA,Calgary,4
GVA-Canada,GVA,Canada,4
GVA-Casablanca Mohamed V,GVA,Casablanca Mohamed V,4
GVA-Catania,GVA,Catania,4
GVA-Charlotte,GVA,Charlotte,4
GVA-Chicago O Hare International,GVA,Chicago O Hare International,4
GVA-China,GVA,China,4
GVA-Cluj,GVA,Cluj,4
GVA-Cyprus,GVA,Cyprus,4
GVA-Dallas Fort Worth Intl,GVA,Dallas Fort Worth Intl,4
GVA-Dar Es Salaam,GVA,Dar Es Salaam,4
GVA-Denver International,GVA,Denver International,4
GVA-Detroit Wayne County,GVA,Detroit Wayne County,4
GVA-Djerba,GVA,Djerba,4
GVA-Eleftherios Venizelos International,GVA,Eleftherios Venizelos International,4
GVA-Enfidha Hammamet Ali Internation,GVA,Enfidha Hammamet Ali Internation,4
GVA-Ethiopia,GVA,Ethiopia,4
GVA-Firenze Peretola,GVA,Firenze Peretola,4
GVA-France,GVA,France,4
GVA-Frankfurt International,GVA,Frankfurt International,4
GVA-Gaziantep,GVA,Gaziantep,4
GVA-Georgia,GVA,Georgia,4
GVA-Greece,GVA,Greece,4
GVA-Guangzhou.Baiyun,GVA,Guangzhou.Baiyun,4
GVA-Houston Intercontinental,GVA,Houston Intercontinental,4
GVA-Iasi,GVA,Iasi,4
GVA-Incheon International,GVA,Incheon International,4
GVA-Indonesia,GVA,Indonesia,4
GVA-Iran,GVA,Iran,4
GVA-Iraq,GVA,Iraq,4
GVA-Istanbul Airport,GVA,Istanbul Airport,4
GVA-Istanbul Sabiha Gokcen,GVA,Istanbul Sabiha Gokcen,4
GVA-Italy,GVA,Italy,4
GVA-Jakarta Soekarno-Hatta,GVA,Jakarta Soekarno-Hatta,4
GVA-Japan,GVA,Japan,4
GVA-Jeddah.King Abdulaziz,GVA,Jeddah.King Abdulaziz,4
GVA-Kansai International,GVA,Kansai International,4
GVA-Kishinev,GVA,Kishinev,4
GVA-Kosice,GVA,Kosice,4
GVA-Kosovo,GVA,Kosovo,4
GVA-Kuala Lumpur.International,GVA,Kuala Lumpur.International,4
GVA-Kuwait,GVA,Kuwait,4
GVA-La Coruna,GVA,La Coruna,4
GVA-Larnaca,GVA,Larnaca,4
GVA-Las Vegas Mccarran Intl.Airport,GVA,Las Vegas Mccarran Intl.Airport,4
GVA-Lebanon,GVA,Lebanon,4
GVA-Lille Lesquin,GVA,Lille Lesquin,4
GVA-Lisboa,GVA,Lisboa,4
GVA-Ljubljana,GVA,Ljubljana,4
GVA-Los Angeles International,GVA,Los Angeles International,4
GVA-Madeira,GVA,Madeira,4
GVA-Mahe Island,GVA,Mahe Island,4
GVA-Malaga,GVA,Malaga,4
GVA-Malaysia,GVA,Malaysia,4
GVA-Marseille,GVA,Marseille,4
GVA-Milano Malpensa,GVA,Milano Malpensa,4
GVA-Minneapolis International,GVA,Minneapolis International,4
GVA-Moldova,GVA,Moldova,4
GVA-Montreal Dorval International,GVA,Montreal Dorval International,4
GVA-München Franz Joseph Strauss,GVA,München Franz Joseph Strauss,4
GVA-Namibia,GVA,Namibia,4
GVA-Nantes,GVA,Nantes,4
GVA-Napoli Capodichino,GVA,Napoli Capodichino,4
GVA-New York J F Kennedy,GVA,New York J F Kennedy,4
GVA-New York Newark International,GVA,New York Newark International,4
GVA-Nice,GVA,Nice,4
GVA-Other airports: Africa,GVA,Other airports: Africa,4
GVA-Other airports: Asia,GVA,Other airports: Asia,4
GVA-Other airports: Bulgaria,GVA,Other airports: Bulgaria,4
GVA-Other airports: Canada,GVA,Other airports: Canada,4
GVA-Other airports: China,GVA,Other airports: China,4
GVA-Other airports: Germany,GVA,Other airports: Germany,4
GVA-Other airports: Iraq,GVA,Other airports: Iraq,4
GVA-Other airports: Morocco,GVA,Other airports: Morocco,4
GVA-Other airports: Oceania,GVA,Other airports: Oceania,4
GVA-Other airports: Saudi Arabia,GVA,Other airports: Saudi Arabia,4
GVA-Other airports: United States,GVA,Other airports: United States,4
GVA-Ottawa Mcdonald Cartier Intl,GVA,Ottawa Mcdonald Cartier Intl,4
GVA-Palermo Punta Rasai,GVA,Palermo Punta Rasai,4
GVA-Philadelphia International,GVA,Philadelphia International,4
GVA-Phoenix Sky Harbor International,GVA,Phoenix Sky Harbor International,4
GVA-Pisa,GVA,Pisa,4
GVA-Podgorica,GVA,Podgorica,4
GVA-Porto,GVA,Porto,4
GVA-Portugal,GVA,Portugal,4
GVA-Praha,GVA,Praha,4
GVA-Pristina (Kosovo),GVA,Pristina (Kosovo),4
GVA-Raleigh/Durham,GVA,Raleigh/Durham,4
GVA-Rebiechowo,GVA,Rebiechowo,4
GVA-Riyadh,GVA,Riyadh,4
GVA-Romania,GVA,Romania,4
GVA-Salt Lake City,GVA,Salt Lake City,4
GVA-San Diego Lindbergh Field Internat,GVA,San Diego Lindbergh Field Internat,4
GVA-San Francisco International,GVA,San Francisco International,4
GVA-Santiago De Compostela,GVA,Santiago De Compostela,4
GVA-Sarajevo,GVA,Sarajevo,4
GVA-Saudi Arabia,GVA,Saudi Arabia,4
GVA-Seattle Tacoma International,GVA,Seattle Tacoma International,4
GVA-Serbia,GVA,Serbia,4
GVA-Seychelles,GVA,Seychelles,4
GVA-Shanghai Pudong International,GVA,Shanghai Pudong International,4
GVA-Singapore,GVA,Singapore,4
GVA-Singapore Changi,GVA,Singapore Changi,4
GVA-Skopje Alexander The Great,GVA,Skopje Alexander The Great,4
GVA-Slovakia,GVA,Slovakia,4
GVA-Slovenia,GVA,Slovenia,4
GVA-Sofia,GVA,Sofia,4
GVA-South Korea,GVA,South Korea,4
GVA-Spain,GVA,Spain,4
GVA-Taipei Chiang Kai Shek Intl,GVA,Taipei Chiang Kai Shek Intl,4
GVA-Tampa International,GVA,Tampa International,4
GVA-Tanzania,GVA,Tanzania,4
GVA-Tblisi.Lochini/Novo Alexeyevka,GVA,Tblisi.Lochini/Novo Alexeyevka,4
GVA-Teheran Imam Khomaini,GVA,Teheran Imam Khomaini,4
GVA-Thessaloniki,GVA,Thessaloniki,4
GVA-Tirana,GVA,Tirana,4
GVA-Tokyo Haneda,GVA,Tokyo Haneda,4
GVA-Tokyo Narita,GVA,Tokyo Narita,4
GVA-Toronto Lester Pearson Internatio,GVA,Toronto Lester Pearson Internatio,4
GVA-Tunis,GVA,Tunis,4
GVA-Tunisia,GVA,Tunisia,4
GVA-Türkiye,GVA,Türkiye,4
GVA-United States,GVA,United States,4
GVA-Valencia,GVA,Valencia,4
GVA-Vancouver International,GVA,Vancouver International,4
GVA-Venezia,GVA,Venezia,4
GVA-Washington Dulles International,GVA,Washington Dulles International,4
GVA-Wien,GVA,Wien,4
GVA-Windhoek International,GVA,Windhoek International,4
ZRH-Alicante,ZRH,Alicante,4
ZRH-America,ZRH,America,4
ZRH-Amman Queen Alia International,ZRH,Amman Queen Alia International,4
ZRH-Ankara Esenboga,ZRH,Ankara Esenboga,4
ZRH-Asia,ZRH,Asia,4
ZRH-Atlanta Hartsfield Intl,ZRH,Atlanta Hartsfield Intl,4
ZRH-Bali Intl/Ngurah Rai,ZRH,Bali Intl/Ngurah Rai,4
ZRH-Bangalore,ZRH,Bangalore,4
ZRH-Barcelona,ZRH,Barcelona,4
ZRH-Bari,ZRH,Bari,4
ZRH-Beijing Capital,ZRH,Beijing Capital,4
ZRH-Beirut,ZRH,Beirut,4
ZRH-Belarus,ZRH,Belarus,4
ZRH-Belgrade,ZRH,Belgrade,4
ZRH-Bergen,ZRH,Bergen,4
ZRH-Berlin,ZRH,Berlin,4
ZRH-Bilbao,ZRH,Bilbao,4
ZRH-Billund,ZRH,Billund,4
ZRH-Birmingham International,ZRH,Birmingham International,4
ZRH-Bologna,ZRH,Bologna,4
ZRH-Bombay,ZRH,Bombay,4
ZRH-Bordeaux,ZRH,Bordeaux,4
ZRH-Bosnia and Herzegovina,ZRH,Bosnia and Herzegovina,4
ZRH-Boston Logan International,ZRH,Boston Logan International,4
ZRH-Bristol,ZRH,Bristol,4
ZRH-Bucuresti Otopeni,ZRH,Bucuresti Otopeni,4
ZRH-Budapest,ZRH,Budapest,4
ZRH-Bulgaria,ZRH,Bulgaria,4
ZRH-Canada,ZRH,Canada,4
ZRH-Casablanca Mohamed V,ZRH,Casablanca Mohamed V,4
ZRH-Catania,ZRH,Catania,4
ZRH-Charlotte,ZRH,Charlotte,4
ZRH-Chengdu,ZRH,Chengdu,4
ZRH-Chennai/Madras,ZRH,Chennai/Madras,4
ZRH-Chicago O Hare International,ZRH,Chicago O Hare International,4
ZRH-China,ZRH,China,4
ZRH-Cluj,ZRH,Cluj,4
ZRH-Croatia,ZRH,Croatia,4
ZRH-Czechia,ZRH,Czechia,4
ZRH-Dallas Fort Worth Intl,ZRH,Dallas Fort Worth Intl,4
ZRH-Denmark,ZRH,Denmark,4
ZRH-Denver International,ZRH,Denver International,4
ZRH-Detroit Wayne County,ZRH,Detroit Wayne County,4
ZRH-Dresden,ZRH,Dresden,4
ZRH-Dublin,ZRH,Dublin,4
ZRH-Egypt,ZRH,Egypt,4
ZRH-Eleftherios Venizelos International,ZRH,Eleftherios Venizelos International,4
ZRH-Estonia,ZRH,Estonia,4
ZRH-Europe,ZRH,Europe,4
ZRH-Faro,ZRH,Faro,4
ZRH-Firenze Peretola,ZRH,Firenze Peretola,4
ZRH-France,ZRH,France,4
ZRH-Fuerteventura,ZRH,Fuerteventura,4
ZRH-Gaziantep,ZRH,Gaziantep,4
ZRH-Georgia,ZRH,Georgia,4
ZRH-Glasgow International,ZRH,Glasgow International,4
ZRH-Graz,ZRH,Graz,4
ZRH-Guangzhou.Baiyun,ZRH,Guangzhou.Baiyun,4
ZRH-Göteborg Landvetter,ZRH,Göteborg Landvetter,4
ZRH-Hamburg Fuhlsbüttel,ZRH,Hamburg Fuhlsbüttel,4
ZRH-Helsinki,ZRH,Helsinki,4
ZRH-Hong Kong,ZRH,Hong Kong,4
ZRH-Hong Kong Chek Lap Kok Int.Airport,ZRH,Hong Kong Chek Lap Kok Int.Airport,4
ZRH-Houston Intercontinental,ZRH,Houston Intercontinental,4
ZRH-Hungary,ZRH,Hungary,4
ZRH-Hurghada,ZRH,Hurghada,4
ZRH-Iasi,ZRH,Iasi,4
ZRH-Incheon International,ZRH,Incheon International,4
ZRH-India,ZRH,India,4
ZRH-Indira Gandhi International,ZRH,Indira Gandhi International,4
ZRH-Indonesia,ZRH,Indonesia,4
ZRH-Iran,ZRH,Iran,4
ZRH-Iraq,ZRH,Iraq,4
ZRH-Ireland,ZRH,Ireland,4
ZRH-Israel,ZRH,Israel,4
ZRH-Istanbul Airport,ZRH,Istanbul Airport,4
ZRH-Istanbul Sabiha Gokcen,ZRH,Istanbul Sabiha Gokcen,4
ZRH-Italy,ZRH,Italy,4
ZRH-Izmir Adnan Menderes,ZRH,Izmir Adnan Menderes,4
ZRH-Jakarta Soekarno-Hatta,ZRH,Jakarta Soekarno-Hatta,4
ZRH-Japan,ZRH,Japan,4
ZRH-Jeddah.King Abdulaziz,ZRH,Jeddah.King Abdulaziz,4
ZRH-Jordan,ZRH,Jordan,4
ZRH-Kayseri,ZRH,Kayseri,4
ZRH-Kishinev,ZRH,Kishinev,4
ZRH-Kobenhavn Kastrup,ZRH,Kobenhavn Kastrup,4
ZRH-Kosice,ZRH,Kosice,4
ZRH-Kosovo,ZRH,Kosovo,4
ZRH-Krakow,ZRH,Krakow,4
ZRH-Kuwait,ZRH,Kuwait,4
ZRH-La Coruna,ZRH,La Coruna,4
ZRH-Lamezia Terme,ZRH,Lamezia Terme,4
ZRH-Las Vegas Mccarran Intl.Airport,ZRH,Las Vegas Mccarran Intl.Airport,4
ZRH-Latvia,ZRH,Latvia,4
ZRH-Lebanon,ZRH,Lebanon,4
ZRH-Leeds Bradford,ZRH,Leeds Bradford,4
ZRH-Lisboa,ZRH,Lisboa,4
ZRH-Lithuania,ZRH,Lithuania,4
ZRH-Ljubljana,ZRH,Ljubljana,4
ZRH-London Luton,ZRH,London Luton,4
ZRH-Los Angeles International,ZRH,Los Angeles International,4
ZRH-Lugano-Agno,ZRH,Lugano-Agno,4
ZRH-Madeira,ZRH,Madeira,4
ZRH-Malaga,ZRH,Malaga,4
ZRH-Malta,ZRH,Malta,4
ZRH-Marsa Alam,ZRH,Marsa Alam,4
ZRH-Marseille,ZRH,Marseille,4
ZRH-Minneapolis International,ZRH,Minneapolis International,4
ZRH-Minsk International 2,ZRH,Minsk International 2,4
ZRH-Moldova,ZRH,Moldova,4
ZRH-Montenegro,ZRH,Montenegro,4
ZRH-Montpellier,ZRH,Montpellier,4
ZRH-Montreal Dorval International,ZRH,Montreal Dorval International,4
ZRH-Moskva Vnukovo,ZRH,Moskva Vnukovo,4
ZRH-Nairobi Jomo Kenyatta International,ZRH,Nairobi Jomo Kenyatta International,4
ZRH-Namibia,ZRH,Namibia,4
ZRH-Nantes,ZRH,Nantes,4
ZRH-Napoli Capodichino,ZRH,Napoli Capodichino,4
ZRH-New York J F Kennedy,ZRH,New York J F Kennedy,4
ZRH-New York Newark International,ZRH,New York Newark International,4
ZRH-Newcastle,ZRH,Newcastle,4
ZRH-Nice,ZRH,Nice,4
ZRH-Nis,ZRH,Nis,4
ZRH-Norway,ZRH,Norway,4
ZRH-Ohrid,ZRH,Ohrid,4
ZRH-Orlando International,ZRH,Orlando International,4
ZRH-Oslo Gardermoen,ZRH,Oslo Gardermoen,4
ZRH-Other airports: Asia,ZRH,Other airports: Asia,4
ZRH-Other airports: Canada,ZRH,Other airports: Canada,4
ZRH-Other airports: China,ZRH,Other airports: China,4
ZRH-Other airports: France,ZRH,Other airports: France,4
ZRH-Other airports: Indonesia,ZRH,Other airports: Indonesia,4
ZRH-Other airports: Iran,ZRH,Other airports: Iran,4
ZRH-Other airports: Iraq,ZRH,Other airports: Iraq,4
ZRH-Other airports: Japan,ZRH,Other airports: Japan,4
ZRH-Other airports: Mexico,ZRH,Other airports: Mexico,4
ZRH-Other airports: Morocco,ZRH,Other airports: Morocco,4
ZRH-Other airports: Russia,ZRH,Other airports: Russia,4
ZRH-Other airports: Saudi Arabia,ZRH,Other airports: Saudi Arabia,4
ZRH-Other airports: Switzerland,ZRH,Other airports: Switzerland,4
ZRH-Other airports: Ukraine,ZRH,Other airports: Ukraine,4
ZRH-Other airports: United Kingdom,ZRH,Other airports: United Kingdom,4
ZRH-Other airports: United States,ZRH,Other airports: United States,4
ZRH-Ottawa Mcdonald Cartier Intl,ZRH,Ottawa Mcdonald Cartier Intl,4
ZRH-Paris Orly,ZRH,Paris Orly,4
ZRH-Philadelphia International,ZRH,Philadelphia International,4
ZRH-Phoenix Sky Harbor International,ZRH,Phoenix Sky Harbor International,4
ZRH-Podgorica,ZRH,Podgorica,4
ZRH-Poland,ZRH,Poland,4
ZRH-Porto,ZRH,Porto,4
ZRH-Portugal,ZRH,Portugal,4
ZRH-Praha,ZRH,Praha,4
ZRH-Pristina (Kosovo),ZRH,Pristina (Kosovo),4
ZRH-Qatar,ZRH,Qatar,4
ZRH-Rabat,ZRH,Rabat,4
ZRH-Raleigh/Durham,ZRH,Raleigh/Durham,4
ZRH-Rebiechowo,ZRH,Rebiechowo,4
ZRH-Rennes,ZRH,Rennes,4
ZRH-Riga,ZRH,Riga,4
ZRH-Riyadh,ZRH,Riyadh,4
ZRH-Roma Fiumicino,ZRH,Roma Fiumicino,4
ZRH-Romania,ZRH,Romania,4
ZRH-Salt Lake City,ZRH,Salt Lake City,4
ZRH-Salzburg,ZRH,Salzburg,4
ZRH-San Diego Lindbergh Field Internat,ZRH,San Diego Lindbergh Field Internat,4
ZRH-San Francisco International,ZRH,San Francisco International,4
ZRH-Sarajevo,ZRH,Sarajevo,4
ZRH-Saudi Arabia,ZRH,Saudi Arabia,4
ZRH-Seattle Tacoma International,ZRH,Seattle Tacoma International,4
ZRH-Serbia,ZRH,Serbia,4
ZRH-Shanghai Pudong International,ZRH,Shanghai Pudong International,4
ZRH-Sibiu,ZRH,Sibiu,4
ZRH-Skopje Alexander The Great,ZRH,Skopje Alexander The Great,4
ZRH-Slovakia,ZRH,Slovakia,4
ZRH-Slovenia,ZRH,Slovenia,4
ZRH-Sofia,ZRH,Sofia,4
ZRH-South Korea,ZRH,South Korea,4
ZRH-Spain,ZRH,Spain,4
ZRH-St Petersburg Pulkovo,ZRH,St Petersburg Pulkovo,4
ZRH-Stockholm Arlanda,ZRH,Stockholm Arlanda,4
ZRH-Sweden,ZRH,Sweden,4
ZRH-Taipei Chiang Kai Shek Intl,ZRH,Taipei Chiang Kai Shek Intl,4
ZRH-Tallinn,ZRH,Tallinn,4
ZRH-Tampa International,ZRH,Tampa International,4
ZRH-Tanzania,ZRH,Tanzania,4
ZRH-Tblisi.Lochini/Novo Alexeyevka,ZRH,Tblisi.Lochini/Novo Alexeyevka,4
ZRH-Teheran Imam Khomaini,ZRH,Teheran Imam Khomaini,4
ZRH-Tel Aviv Ben Gurion International,ZRH,Tel Aviv Ben Gurion International,4
ZRH-Thessaloniki,ZRH,Thessaloniki,4
ZRH-Tirana,ZRH,Tirana,4
ZRH-Tokyo Haneda,ZRH,Tokyo Haneda,4
ZRH-Tokyo Narita,ZRH,Tokyo Narita,4
ZRH-Toronto Lester Pearson Internatio,ZRH,Toronto Lester Pearson Internatio,4
ZRH-Toulouse Blagnac,ZRH,Toulouse Blagnac,4
ZRH-Tunis,ZRH,Tunis,4
ZRH-Tunisia,ZRH,Tunisia,4
ZRH-Türkiye,ZRH,Türkiye,4
ZRH-United States,ZRH,United States,4
ZRH-Valencia,ZRH,Valencia,4
ZRH-Venezia,ZRH,Venezia,4
ZRH-Vilnius,ZRH,Vilnius,4
ZRH-Warszawa,ZRH,Warszawa,4
ZRH-Washington Dulles International,ZRH,Washington Dulles International,4
ZRH-Windhoek International,ZRH,Windhoek International,4
ZRH-Zagreb,ZRH,Zagreb,4
ZRH-Zanzibar,ZRH,Zanzibar,4
ZRH-Zürich,ZRH,Zürich,4
